"File","Words","Smell","LowProse"
"docs\constitution\sections\70_community_partnerships.md","15","True","True"
"docs\constitution\sections\80_amendments.md","15","True","True"
"docs\constitution\sections\90_notes.md","15","True","True"
"docs\constitution\CoCivium-Constitution.md","23","True","True"
"docs\constitution\INDEX.md","98","False","True"
"docs\constitution\OUTLINE.md","88","False","True"
"docs\constitution\WEAK_AREAS.md","36","True","True"
"docs\cotips\VOICE-PASTE-CUE.md","72","True","False"
"docs\decisions\index.md","42","True","True"
"docs\diagrams\render\academy\README.md","19","False","True"
"docs\diagrams\render\academy\vital-signs.vl.md","17","False","True"
"docs\diagrams\vitals\methods\extreme-poverty-inv.md","49","False","True"
"docs\diagrams\vitals\methods\life-expectancy.md","49","False","True"
"docs\diagrams\vitals\methods\literacy.md","44","False","True"
"docs\diagrams\INVENTORY.md","2128","True","True"
"docs\drafts\README.next.md","705","True","False"
"docs\eyes\README.md","50","True","True"
"docs\ideas\2025-09-11\batch-3\README.md","62","True","True"
"docs\ideas\2025-09-11\batch-4\README.md","59","False","True"
"docs\ideas\2025-09-11\batch-5\README.md","73","False","True"
"docs\ideas\2025-09-11\batch-6\README.md","56","False","True"
"docs\ideas\2025-09-11\imports-170038\README.md","66","True","False"
"docs\ideas\2025-09-11\imports-171257\README.md","61","True","True"
"docs\ideas\2025-09-11\imports-172523\README.md","56","False","True"
"docs\ideas\twominds\a-b-doc-switcher-dual-readme.md","131","True","True"
"docs\ideas\twominds\fix-the-world-the-game-canonical-in-comodules.md","133","True","True"
"docs\ideas\twominds\short-title.md","127","True","True"
"docs\ideas\_template.md","42","True","False"
"docs\ideas\20250826-0407Z-ab-readme.md","52","True","False"
"docs\ideas\20250826-0407Z-ftw-game.md","57","True","False"
"docs\ideas\INDEX.md","29","True","True"
"docs\ideas\README.md","188","True","False"
"docs\ideas\REGISTRY.md","45","True","False"
