"File","Words","Smell","LowProse"
"admin\outreach\KickOpenAI\Appendix\CoCivium_OpenAI_Bugs_Appendix_2025-08-12.md","1077","True","False"
"admin\outreach\KickOpenAI\Changelogs\CHANGELOG.md","48","True","False"
"admin\outreach\KickOpenAI\Deck\10slides_outline.md","110","True","False"
"admin\outreach\KickOpenAI\Posts\being_noname_insert.md","53","False","True"
"admin\outreach\KickOpenAI\Posts\forum_post_cocivai_variant.md","87","True","False"
"admin\outreach\KickOpenAI\Posts\forum_post.md","224","True","False"
"admin\outreach\KickOpenAI\Posts\github_issue.md","158","True","False"
"admin\outreach\KickOpenAI\Posts\help_ticket_summary.md","153","True","False"
"admin\outreach\KickOpenAI\Posts\medium_article.md","130","True","False"
"admin\outreach\KickOpenAI\Posts\medium_cocivai_sidebar.md","87","True","False"
"admin\outreach\KickOpenAI\About_CoCivAI.md","119","True","False"
"admin\outreach\KickOpenAI\CoCivAI_Branding.md","150","True","False"
"admin\outreach\KickOpenAI\Gibberlink_Explainer.md","120","True","False"
"admin\outreach\KickOpenAI\Legal-Ethics.md","94","True","False"
"admin\outreach\KickOpenAI\Metrics.md","96","True","False"
"admin\outreach\KickOpenAI\Plan.md","495","True","True"
"admin\outreach\KickOpenAI\README.md","232","True","False"
"admin\outreach\KickOpenAI\RiskRegister.md","106","True","False"
"admin\outreach\KickOpenAI\Runbook_Checklist.md","127","True","False"
"admin\outreach\KickOpenAI\Signature_Blocks.md","83","True","False"
"admin\plans\ROOT_TIDY_MOVEMAP_20250819_234453.md","179","True","False"
"admin\plans\stub_multi-repo_import_plan.md","128","True","True"
"admin\plans\stub_root_tidy_plan.md","171","True","False"
"admin\products\CoCivBus\transports\git_gist.md","85","True","False"
"admin\products\CoCivBus\transports\matrix.md","98","True","False"
"admin\products\CoCivBus\transports\nostr.md","79","True","False"
"admin\products\CoCivBus\ux\beacon_format.md","74","True","False"
"admin\products\CoCivBus\ux\extension_scope.md","70","True","False"
"admin\products\CoCivBus\ux\quickstart.md","129","True","False"
"admin\products\CoCivBus\PLAN_v0.1.md","971","True","False"
"admin\products\CoCivBus\SPEC_v0.1.md","166","True","False"
"admin\products\PromptQ_c0_20250812\ProductCard_c0_20250812.md","165","True","False"
"admin\products\PromptQ_c0_20250812\README.md","56","True","False"
"admin\products\README.md","114","True","False"
"admin\projects\DB_Init_Postgres_c0_20250812\ParkingCard_c0_20250812.md","134","True","False"
"admin\projects\DB_Init_Postgres_c0_20250812\README.md","97","True","False"
"admin\projects\CoCivium_Scope_Specification_c1_20250813.md","716","True","False"
"admin\projects\CoCivium_Twin_Eyes_Initiative_Plan_c1_20250813.md","501","True","True"
"admin\projects\README.md","104","True","False"
"admin\runbooks\README.md","130","True","False"
"admin\scratchpad\published\20250809T055719Z_setup_notes.md","43","True","False"
"admin\scratchpad\published\20250809T055903Z_setup_notes.md","43","True","False"
"admin\setup\dist\ChromeUpgrade_20250809T072640Z\CHANGES.md","99","True","False"
"admin\setup\dist\ChromeUpgrade_20250809T075739Z\CHANGES.md","87","True","False"
"admin\setup\dist\ChromeUpgrade_20250809T080004Z\CHANGES.md","87","True","False"
"admin\setup\dist\ChromeUpgrade_20250809T080214Z\CHANGES.md","113","True","False"
"admin\setup\Browser_Setup_and_Launcher.md","92","True","False"
"admin\setup\chrome_profile_summary_20250809T071539Z.md","64","True","False"
"admin\setup\chrome_profile_summary_20250809T074129Z.md","64","True","False"
"admin\setup\ENVIRONMENT.md","91","True","False"
"admin\setup\EXTENSIONS.md","53","True","False"
"admin\setup\README.md","195","True","False"
"admin\setup\Workbench_Setup_Plan.md","453","True","False"
"admin\status\GRAND_MIGRATION.md","118","False","True"
"admin\system\bpoe-audit\BPOE_Audit_20250813_192734.md","691","True","True"
"admin\tools\repo-accelerator\README.md","61","True","False"
"admin\tools\repo-accelerator\stub_README.md","100","True","False"
"admin\tools\workbench\README.md","68","True","False"
"admin\admin_regroom_20250727.md","395","True","False"
"admin\Civium_creator_access_plan_20250719.md","202","True","False"
"admin\Civium_master_todo_20250719.md","463","True","False"
"admin\CIVIUM_MASTER_TODO_v1_20250719.md","463","True","True"
"admin\CoCivium_Admin_Workflow_Tips_20250811.md","762","True","False"
"admin\CoCivium_Session_Primer.md","133","True","False"
"admin\Coherence_Track.md","118","False","False"
"admin\DEPRECATIONS.md","98","True","False"
"admin\End_of_Session_Template.md","137","True","False"
"admin\Intersessional_Profile.md","427","True","False"
"admin\Last_Session_Context.md","185","True","False"
"admin\MAINTAINERS.md","63","False","False"
"admin\MIGRATION_LOG.md","168","True","False"
"admin\MISSING_OR_STALLED_TASKS.md","325","True","False"
"admin\PR_CHECKLIST.md","119","True","False"
"admin\README_CIVIUM_AI.md","154","True","False"
"admin\README_CIVIUM_PUBLIC.md","92","False","False"
"admin\README_git.md","56","False","False"
"admin\README.md","77","True","False"
"admin\README.top_fold.plan.md","100","True","False"
"admin\REPO_STRUCTURE.md","87","False","True"
"admin\SCRATCHPAD_REGEN.md","216","True","False"
"admin\Session_Starter_Prompt.md","101","True","False"
"admin\TheGrandPlan_20250805.md","260","True","True"
